"names","node","preds_indRev","preds_outRev","preds_inRev","preds_subRev"
"pnlvi",352,NA,NA,NA,NA
"nhqcj",353,NA,NA,NA,NA
"dygno",354,NA,NA,NA,NA
"iryjt",355,NA,NA,NA,NA
"icgvk",356,339.345866609045,649.161641512671,704.040941133464,2663.15211367471
"fttgg",357,NA,NA,NA,NA
"bnncy",358,NA,NA,NA,NA
"nlnoh",359,NA,NA,NA,NA
"xceuy",360,NA,NA,NA,NA
"ygpxe",361,264.258813323685,238.191682567085,218.97183902152,516.643914553896
"bpaeh",362,270.448184758932,237.095281300135,216.373824469245,535.788773881514
"wuhqs",363,565.863290834546,566.105668899421,574.591031093423,1754.9589669644
"hunbp",364,507.644087944693,839.029501494773,1011.62379336141,1716.96713654726
"dqxtb",365,NA,NA,NA,NA
"behbp",366,NA,NA,NA,NA
"umcsa",367,418.170653284952,505.273642179664,537.627362904875,1198.07964428254
"gyohu",368,NA,NA,NA,NA
"kgtcf",369,NA,NA,NA,NA
"eehkb",370,NA,NA,NA,NA
"equog",371,435.62332247136,733.54573377765,867.294136557751,1178.62817743324
"paznz",372,NA,NA,NA,NA
"lejpg",373,NA,NA,NA,NA
"sdjjd",374,244.362088601998,247.018587650707,233.147231421169,432.79098067749
"qmwrx",375,NA,NA,NA,NA
"hbpdm",376,415.907431544467,740.96081445643,775.059205578849,4825.23069876944
"knjyc",377,507.644087944433,534.586350734015,549.265985092102,1541.75247358926
"gtqiy",378,NA,NA,NA,NA
"qcubr",379,560.741903672068,1483.31873647218,1916.30885434743,6877.06735194372
"ucwnh",380,966.803314154272,2811.27083700853,3483.21774670942,11444.4231418357
"bmwhx",381,NA,NA,NA,NA
"yioex",382,NA,NA,NA,NA
"qaxab",383,749.518309691088,1148.91705653257,1137.34473319009,4163.18401849287
"xfvzr",384,NA,NA,NA,NA
"eehsv",385,352.099881860621,532.970185690809,588.400724492917,717.178475517267
"nkezc",386,NA,NA,NA,NA
"qsqnk",387,271.296172823489,579.416633721565,620.633527102051,2489.64306807832
"htfmp",388,368.059414307812,801.999538565983,849.635479705992,2049.2911188613
"msrgw",389,NA,NA,NA,NA
"cievi",390,NA,NA,NA,NA
"ohwhb",391,271.730129577113,167.772316020949,134.520669208773,469.891395930129
"tbtnt",392,447.266752867901,248.596279993191,197.326283339115,876.061885847353
"luwlk",393,361.387420876979,466.946279309431,499.931621785444,912.859192232113
"jpxwj",394,404.25493147642,483.704642284585,511.274967569158,1128.6347385012
"lkonb",395,565.045040178098,1701.3318867749,2046.66038062131,5096.15386941588
